,title,price,link_item,index,discount,sales,category
0,Bộ 2 Chai Sữa Tắm Gội Toàn Thân Cho Bé Johnson's Baby Top To Toe 500mlx2,245.000₫,https://tka.tiki.vn/pixel/pixel?data=jGalSy_Oa9IRt5ie7Rpv-WLXSgYYy_yrAZlYYE2Ai7cRRdEoFnUOwMqF_W0ZFJu3h5rexoIs8tyl8PzDsz5oWfiUA3uYAlLBtJqA56BhD0KqalElsjKlKHUo9IFuxsXnJbBQTx8LUzrOZ0jlHARVTihmIUMvsyXUKmOwOpKAaYPKzpz5qeYurmC-C-X-ZpGaGkaMJDgxTGlotTWU5bc4Xc1QHO8TuJxHjJHxhR8cMreybos7UZmenmfSBB_Y-jZ_pdnJLkr-KB68unl6_qLcxqzvw6JPgHoxqznE-ORsUX08d7svsn2XDk6of4_spHtoKZlAusBSSiCq4xZr-BElFL74DkUmlPdnStAugmblh4o9fXAuYujMVYG5qxcoMyNsv5Bjl318uDpVwnuMLgr4IsvcPS58lxyKrwXPtA1VihnvJ1qSOEuNuhBVSsakm-tnuFV2UHShk6BZpMiNn7K01p9cf4TPk7UScBz4uKY5mKBwiK3DB6MK-23V3f6Swv9XM6JkP2EKruRVaSw3MCGHCmjToNJDrqeqA_A9xikvxtaBtiIQh_OyX0DpZu70NvSKdAw4wmQKtP9KuhgpA_k96l-JZNdyAFNvx9IHnL9OyijcWW897dzb0ZDLvU0nwlh0ZSnq6gUdxWar6mmKe4xFTItTtxMtOxrBdXco3nuwaEswYvQ8rxKJM3G9ur_6m-Pna6eO1os98V5qhu8hxJ2_goWrLCY6RwBy4RhFcXYuCNZQUxY3E-7rocWGtQXq3upSB54up_wZemurDPCiG59x1RpuwwxgHTpfUBJdntuuCKBPj1BecD4YZE3DhgGHwMgMpZ6ZCp99YVI3aOct2cWmgC0C0XsAQjw6eQZ1PSHIrADv3lIpEJ5XnKvvXq7GbnVm_CIcm8AV5coOnYE8XdmXQQrgZEIBUQtpEKJfX2KqNK53yZIIkaqpB0eE3pr7DrsMsk1h_27Vik4n3Kj5FfRxdeuh3sVCvf5AjbgpKCDN2Wdyyf8gWhgM7yvMnkM4T5EZyhmM34_bQ-8wM6Dr9_x921LUIxxQUgcXoYLtMQKx_k7Pp5ekHYf2VHkTUUBvCdW6ossFJPltzlQHSYVZSDfVEdhKbMFx3NB9INFO-WPB-iPKMEaH3p4lOfu1kg4_0PFcxSEddYbd8nuW_MaytMbY7oxPtSe6-BUQMJhFjjJBZDf-XN6dxmnr_5Bso_Et8SnoanNK-BbT61xGu_FaryxOYkDyPo9QvNzUP-u6wrc2ZJQeznCdPVu43RgrxKAnQ37xg0g6t9vJ2zW_yi3ULvs9dR5DFmT-KhspYdjmIi6bn0SK96KDIke1TLMBvEKKsaw9HkQ&reqid=vmCCJqONhcgcZ5CJ&type=CLICK&pos=1,1,-21%,Đã bán 5k+,dodungchobe
1,Nước Tắm Gội Thảo Dược Dr.Papie Cho Bé Giúp Ngăn Ngừa Và Giảm Các Vấn Đề Về Da,135.000₫,https://tka.tiki.vn/pixel/pixel?data=z30vTO_FRUPe4oOMiES95ttx0wn3Xkfr-k9M0sPoq5LNCObyj4KXA-G0gZiUsFMWy4gCxhhDESA56OWBOYLJGvMrkkk48c2XCgyUtHhh4T4fuQNzIqYf28VoKVBtg7q-SQsF18GUkM7FYHfoZ-YGxXFoj_LKjVDpXCviWe2Hi1rYkQqD2ABWQIuStGewtNJKt-1awz0wUitZSzr5nXOwk7-YLyBkurQOBKjTViB1XWuuCVMPYEFR9BUFo4nx2x6eDD2DU2ti6-f9UvCZ--nwKK_HZnVGN_legpif57yWVHiXdT6vMxUfWwyj3uhXx7fbG1JXX8Lv807ECH85HYklZAXSe0qD4L78z66HrPXPX4RJuzEFpSDm_c94rBrNx5QcpTNWzGN7g4HzZcB8lBQLeYKmUYJAff1igxVIwOV69eqLLulchAnpdxcwLo_5E-otp3BhpwEVas8Ug3Vxh33SVKX-XoFz1k-BxNp9cbHDMaQ87P3sWizSbCFDq53MBVkWDEBmqnx2nR36-LiJiNuLLyrI10mW688ew5UI5Q_t-1hBAxAP0DZ3BLP5vEHkYRk_i6DHnPNEvd5MXBbO8IeVreKAcclo1eEEjRYJDuU-jtKfGfbCSoVWNoUHKN0rhksT2eV2khLUlNfDBMvtYtviT0WJbC0uzTzelS5tDmx21jwwUoNRd0SqDV6ih78kQS_ax59mwSIxzJYxCsLsAV11LREinsYU20ZBODWcMCHq2s-SgGc6Qmqx4ZtUyWlK8N7V36eBrHkLpHJnlT_LZvPzeOPnEYSBpF7_5OJ8ug9k8wKd5FjTGu_v4wbCnEOnC8qcalWoMMgs2Ax9rHlmDkfP5WmXohhETAGhEOzHIU0xxTMBVyIfZfBBo6ewKZfU7VTbBZPwBF5th0E1Ma4RvGekhm6NgrjFs5q4bQdImj0ioH64aq3sXNue2dHYy8hIqjHEQRyo9Aqx5Yux-ng-14NnZAWQLNY0AFfspBzlzRdfn2g-NCIKE8bg6hJqYzQex0Vhjiq-mD83ygRU4MZe3cfDRjEJT7Ho3vJ6JgefsOtdQOtu0lS499emp2zhDjlQIPWeM-3-bmq0xuK7s-l9YLTWXlbPl1I71WD1OoLX7Afxew3LgvGQFb-BApSDcooWJM4kmN4muF-Td8_du_gP2k8XPAKeHvj_XDcl-PLKMw0eVSBEm40wpsaTIfzgqWNhIJQK2Kwsdq-OybRf&reqid=vmCCJqONhcgcZ5CJ&type=CLICK&pos=2,2,-25%,Đã bán 104,dodungchobe
2,Dung dịch súc rửa bình sữa & phụ kiện Pigeon 500ml/ 450ml túi thay thế,102.000₫,https://tka.tiki.vn/pixel/pixel?data=QF_SRDL62VCV92_XjC8y18bEYCK2tqLxh_vtmvkprKB2r5W9PEitOVJnY3auvi9oTCk4cQAXNY_WJeboNM1UizGwHuRdNhXQdrdg4fKhHDj85kGJGgKvEZvJquyNuys1dZsGGlagy3_h56jFDOqwvQ_boN-ArcbjlM0WTs1iwIKIXVb3PexLTlySEarv9ifzZL-WveX9uqApwiN3cRjgIqLHx4mgjxi00-PR0gTjUeI3NRLEZqOm96-fseOZrfg5oUNxr-Jynhy-Gtb4SkxfoJfM1lT1S24qAh27RL4CXI8eBEfgElgKywA9E-yS1LkJw-GcXODvh9XXv18j01F-ZLZjb0gOudo6r9Mr4pQBan36iYqPKeKELQ8VtIqSRn-e5G6ROLYTc75s8zK3wP8-lXwwoerjG_5EHbET2Hyz5aNZ7Nis92a62Fa-vXer52Szc1kqhYnGcKZdxt1HDoJ8cTaHko3PYBWv0FQsNmb1U18QEnhktI1C2iKblUTdFBTVwzWYkWgLWPAdFMKwcB5PjKJRh01xSStwftz76iL4H3E46RAYTDuYQjWBaB_XS9kF8MlvVucMA3wj0fP5NwGyORDNCPhGBXrMwjlzNi4N-4vJxeYRj9lyZoKzhKqxYjEG71E1cnsExvFt0QW03vhWM1TI-4DurzeUEI9n7s9Py_SbpbKR8Ymi9obkqmaiHMrBZcytq14ZV_klBDsG7ejxV_sZlTSYVEOgjpeMOpOGlVDmEeXtFwEYyY5B47cpVdoKpyf3t4lMF_dFLJGoK2sPsHIEa_5mll8sKnBtProFCbOe4mYK7qokma7S3tpploiSlMgsYIGsSFjmcc4NZqOpYnYiRvSNdAe4_syYKdZ90NKqH7Rcp80WDiRDiKX4GmOSZPQ9cO2O32DWuNt7EVMDPXEY6s-covrvJGVP8qVtRrOOb96Rw00UQ7hOUKInF-LAFJfdGERAzXu8AxabWoRggFMmqOCtsetv7VlBV7gppt2bgAKqoSA3o2wDZuJIbmIO48OfKGeD32m9Og-GjdtrXYtjrVxYw1pw8WFMno45JBmoeomoe-65i75h_LuYVLGZJL1D0ih0jfa9wz5j3KEykpFcv91Xz8yohpEcJmtIzwqHjxIteMi-U97jq2AAfuADU9gRY7V2hauvH3i6FWBqgYMUkxMa2VFjraUDL3sxWSaPdksjuUrK7hEWWaimkTq5gjJtYadtiJTyh6l3oAg-tm56DeMEI6OXjBNKPdSKjUh5bpwAc6e-8m4&reqid=vmCCJqONhcgcZ5CJ&type=CLICK&pos=3,3,-10%,Đã bán 173,dodungchobe
3,"Nước Tắm Bé Bảo Linh,chiết xuất thảo dược,dùng siêu tiết kiệm",225.000₫,https://tka.tiki.vn/pixel/pixel?data=ihGeapUwDVY0_MN3XdWmFIW-4mc492ppCrID3a9KfreIi4t65LBZYKnZY0yHnwSirpeb7u963M74KFbyfsoszInHQfWrHWlzTxisywVH8qDvq0rECrjVt_lx6bC1lleZZmXrYlwO-8IHnkI5hOuajcXfe_h_-0H9e-dMfvkAeYrVrvuYYxIgjg3-quyrB9Gu7867cbi9G_Vw4ZiW8hQveWJ2IL_-Mtb2gIG9EcpOiUfiQSI0ys0rz3K4Q1Ow-jrLoDvjgHcb2bfgNFMEy81yy3XHa9Y86iLn8yVtOjErlJPZpHSCoBKrz0owBneliDbnSD-SLpdCD8gmgWcfboYvgJ37yDkBTaaBe5mNmKbOA_tuQZT1OnnIxpD8U853428zZnj_07Cs-6pJE5QykgCM9S-nUiUHaWtzAiqi45t52oe5mpLGObTA4wP9spRL3n2pM_S9oKmN4S2vRF-0rcSbkVG9YSKPa05DjBYcLvp84PnPaMKY4rLn6r2cWVp7m4qSLDKk-2oZyTgq5A8M9HajJ68bXg_Xm-onr_8acLYpVYYM13kl2rCDW7wqxTh9pGfpJ36dHc-MVfO2rVgMBGuAVXUL4PKLruoRN0-rEbdYRd46cnLBOGkS5jpJsDm1pwX2jjViX16F2034z6YuZf0kmn8UEwf3BeeEG1UdN9WcqseJwT81ZGEheDx0E1t9zBA4UBUTNWeBrm3hsegfTHXXBOWKt_QbWswhGO17xrUp8e17ngF5TljSXbkbUk4wg-bNnyRrOAfU3HTt6QS21O6YtC57NvVRwxWn7-CJIU51gi69m9go0mPfakGYUl0JVPIHRT5g9wZ2M1neZt0eQ35fCYs9BoRoec7C7XHRzAyGO6g_mAWLCFS50CD3RZ4MJJHrnR709z1nmlLlpRKvda1r_H8Fj2ISo8QjDgDNpSSQ96i3vVTshGCgzxsch27Dlbo3Rme-Cbk8P2Mf9JC7NvsNeQ_LxkzjPWoxrDG9ynSSxSqWN2ia0jmSVd9lJZKuz7PH4KnasPCpABY7McYLFSVarRYrFZrcmTrVn877w1hnNXYvv9VYqo3GDrRJYMc4Cyzivkr_ncItPCQ7qP2XnB_wDAueTOxGOz7FB21b&reqid=vmCCJqONhcgcZ5CJ&type=CLICK&pos=4,4,-4%,Đã bán 7,dodungchobe
4,Bình sữa Pigeon PPSU Plus thế hệ III 160ml/240ml,398.000₫,https://tka.tiki.vn/pixel/pixel?data=bUkv4w1_iiLErXFAKDdUNhfNGQEnDXKeq54GbEe4juw1sZ_xu4MhMzHS0QRN4mKCBA_frE33lqxt_47z4IeEUSU96sjCxXzafEoWk8xQr6MfkLi7QrCSv03YQiMewC539QV6TuLujCSkUuZ3RxdwBoQ53m_Ta4WLauM6-98-PGnEC0UiC1yUsfxOICwGcmINTSu4_Hdr7q7o9glcdMXYV58FEbif5wXB8i4hEhMOxtXPRciizDYiAh_w_b1yNJeRHB-ZaBHn7fBpPWmqahsPYflt3hXUI-gyvm_qZvYj1UCcticphoylQtJQwioUlveh2pkWW8e9XEZ1gmwbkdm1CM_w5ucojwTe2OOlY3iWQwclKPlNOMsgGvlThFvKrBBprCM7bySPw5N8JK-fonfhnSn6nYyobABXQl2F_pzbdPULX4Rhg1z1mIPiI2Vmp3Z7cY7QCo0cS1YC1tCdjykEgCK_mHGWVllUfzqVaQoBTU-YgCInM78xKAmnWfg7M8GgB6J57IknvRAtxTzOXCFvkUkwxEFV91ry4imFsNW4MidWkH7nl-sK_AELDOGplHKs9xvvtIur8CQGuiSaFA80DsooevK58aF4SU8fRJIYpHva-g0ztDZfVRSyArVqDCWAJhfmhWsREg5K3LTAfQdr-fg_pv9ZOZHqD9LE3WkHDb5bEhZ1Ej7-fsdYCjxY1s0Z-Ui4TRePt55B3seiOuMpEiq1-jGhGqAmIQhDM5blEbDIRvMFSnhErwr_rXbljb730eBiJvMpaz53zsU5fvq92aAl0r3FJzepPP5sFIXl04NEfyD75TiwujRqbFG7odm6s5MWMcEhsUmt82AS9IHygpXUVjGINPShOox85VMVGRpBcE_Jp9HILSJJMqvfL1PPABnIoYKxNvou9V7VZAyS9eAZvf9_Alw3E4jroNqlLyzRAN6TQ03dLq1AMqQIOJkQZrDMMjp4qP2B5m3R9Enni0QPFJskyo6X_3y2FcUIJEaYWEUXwg8Rw4Gip8ldtyv-Qvfp5IG201uDyvUL7WMgcH3gHKRcp7HhqIR_1TEJMPMEm1onE7b1inWuN58cTYxuIxwGjKaBMgrPQiRGuem_Y3FhN7j4gnjJKFXnT6mnACHm7Q5ap8fRFpETe7cPLvIHXRex22mRC3HXUof1Vw1US7CR06W8ovJIweNgkmjToGLr50aWPQvpTaT-jBusWJQZD8GI_h2EgZE&reqid=vmCCJqONhcgcZ5CJ&type=CLICK&pos=5,5,-18%,Đã bán 90,dodungchobe
5,xe tròn tập đi AA1 cho bé- Song Long,212.000₫,https://tiki.vn/xe-tron-tap-di-aa1-cho-be-song-long-p44192455.html?spid=44192457,6,-20%,Đã bán 333,dodungchobe
6,Cây súc rửa bình sữa và núm vú Pigeon - Tay xoay hai chiều/một chiều (HSD:08/2024),76.000₫,https://tiki.vn/cay-suc-rua-binh-sua-va-num-vu-pigeon-tay-xoay-hai-chieu-mot-chieu-p104159464.html?spid=104159466,7,-20%,Đã bán 380,dodungchobe
7,Cuộn 2m Mút Xốp Bọc Cạnh Bàn Ghế Giường Tủ Bảo Vệ An Toàn Cho Bé,65.000₫,https://tiki.vn/cuon-2m-mut-xop-boc-canh-ban-ghe-giuong-tu-bao-ve-an-toan-cho-be-p197329427.html?spid=197329429,8,-13%,Đã bán 703,dodungchobe
8,Combo 3 Chai Nước Hoa Cho Bé Johnson's Baby Cologne Hương Phấn Hoa Power Mist Baby Cologne 125ml,199.000₫,https://tiki.vn/combo-3-chai-nuoc-hoa-cho-be-johnson-s-baby-cologne-huong-phan-hoa-power-mist-baby-cologne-125ml-p215122578.html?spid=273546306,9,-19%,,dodungchobe
9,"Bình rửa mũi cho trẻ Dr.Green Kids, kèm 30 gói muối rửa mũi, dung tích 180ml, đầu rửa silicon mềm mại, phù hợp rửa mũi với trẻ em",179.000₫,https://tiki.vn/binh-rua-mui-cho-tre-dr-green-kids-kem-30-goi-muoi-rua-mui-dung-tich-180ml-dau-rua-silicon-mem-mai-phu-hop-rua-mui-voi-tre-em-p56433290.html?spid=56433291,10,-45%,Đã bán 425,dodungchobe
