,title,price,link_item,index,discount,sales,category
0,Bộ Quần Áo Ông Già Noel Vải Nhung Đầy Đủ Chi Tiết Bộ 7 Món,295.000₫,https://tka.tiki.vn/pixel/pixel?data=MTMOB8tGPJ0JsjF6RvXXEwCrmCOxkl2T-hnkmA5E7ID2O0zrwf5CihTgwlzaM8JfeARh-o9VBYMbAu1AfIpJNdZNjj5eAYQQxki3tGyEiwoSJ7RpdTRROS0JU0iYegJ01WJjXAp8y13MlX_HpIksiwjT-szBT4TCJZBFBKU2OJxx08Kv2Ft3DLJ1W0b_60G1EGgtVixtimgoonu-DKUhaPp9b8gZ_eeubW4c4K5NtlFK3aBIMfL8pAYhDtZw0JhwX9BHE8t6I50SD60Y4P1uwViW4ATU77IXmNRnNa8c3M1fff-ktiAzMw_EP4PaYFEtKrj1DvSuPYySdk5109Etqazql3VCsT-aMQ70pjHynKYzzfv_kuRXSCMZJSkGZOPmBGd4WfMRjIjYJ34Cqf66YZ4C5rK-ye7AWySo_D776tcUunm7Q1cqJSgLgGkZJH_Hs6zPhYSmGD5C-twqwUMp4PX55X4zEbAUV82V7crFxnhP8oyuvbfkQeGbTYhgEWemScv0xyLBck73KZDGaJ3BLbhKHHLMZgbsVqOi0SDZptDeNeKOoQdM2yuxUnMP-W4c8-PAZ4V6AC1ZzKGSUAG2z0RHsZuvAC6Npc30MZTsHaFUqmUH2GxDMREMVb_of1GcQ0dmfvPQOe1pOnNx5Z2YN5tj8gARmt7WH4An3W2s49cKA08dWRk2ijhzmQL_PCce6wiNuBfog3gpGusv6mINjpwWj1qY_9jdRcgDfXkbqk7IsTHXCnySunwTqjiAaBFCaTiwbgtAv_Cw0K3fa--RlboHdGHWI-JnIlh44Y-3oBmxmPbb0GiJ5kFSrNUn83ji9NnpTQHA98h6GjUgqdQyWwV-a8QtLmojJw7az8msCiDzkwQT37rkC2RdDyEz5euI1TIVVw0Zr7kLvRaygKTWGQVrgmO22bORTvvlKDEI8l0jIz4K8YNmhKlh24iUyT_OuBgPBDtoOdoM1yb9FLyGmU8ODM_fqejxxtnDiN9ZNXa7z-E231HbMpTf3G87QrM609SHurwx_tQAvp82DyXn7CZKwStpIp_tYKRwlA&reqid=hgxH5RBKV7qJtFCZ&type=CLICK&pos=1,1,-54%,Đã bán 18,quanaolonnam
1,Bộ Quần Áo Ông Già Noel Chất Bông Nỉ 5 Món,130.000₫,https://tka.tiki.vn/pixel/pixel?data=KCSlW__R4-8faPsaooz2QMz9Rkbb8X57TQ0yDTe67_wnzxRrlIB4a4TZ_bMJQTaSBBLytRq8XXRwl81g5v64t60TzNMqOhZJLQ679R-vsjw5tPpdcE64TXGk6gTH14rOwwaHb_oO81pKnc5Xn5zWi7hkgGfeLsO0J1VsDabpfm4LwcPaAQIAc0xwRtt3ZntuLugf74b-eT2GGKxc8ApnH-k00GDLXloCW_urddQfhBnUHB1QafdfHai26OBWGLgGVus0lvHlw02VQ35t2h-6qSisti5KAPLuy2OBolQqDcvfbgaWxz-S4QdH0jyaBIEzs4WYT0PZG0zq9YkjPV_I-Aoz6VgkJtF2b0aOg7w8wchdy9vMTRJIWLYLZX70UDY4TQ5PDMsnbc4qtQhWDSUf6I-ZPWY-7NkQHRu-BzVsdS8i_W71hvTZJa7PVYz-rBpr3R-NL1lr3h-D_GdhwRu4D3eReD4g_IjgGWpJbYV3JT7k9QqqRAHggbhVMIKOKUjFcPgytxlAIKDsMkyuG4GM9Vcfham9MiyxoI_pCXj4_b6zSzvPQ-AOgk0WvD_OD7w7AIaAKhIwLzzJsDWwH_6OcKS8PDzMbkZjuRALbKIMxSstgcTt0P2tu714fi9cBlgOCJ_X1VV9vLQIauS1R044_AFtgacMFmXeSpqNTr5T16J5jlUtnX4klgpPzDp1CU00J6R3N8GMGXq0HPydpmwoYq2mklOQd0rJ8LPlBdBAJNZD4RGANW-mQBdCdNI7BlFhSu-gtt7E-iTLnuIlHIvkGyVI3rxzIM9VN3N8hy0AzxyzLUgZTW47bzygshc2UvzvdW4JOPInP-u6M-duS5_nzpVO2iV2T0DfIDsPOkSjASGoQIE1Ygpciz-gBrxrin2eU3N-SPhmxMNMOBRllXKYs5yuR1FVpRMy6uX5ENejRlAjqJGbDhb68Hcuhx_Rh4zk-RRyE5RKLSxr_Sps8WsBgV7mlmQsHJz20zTFOLVoFbPGRVCGK4gxDE7F4tI9LIpY7vuzb3fZvMmjruOmx4oP2cZBupWy3IVbFgABuAgmxQ&reqid=hgxH5RBKV7qJtFCZ&type=CLICK&pos=2,2,,Đã bán 16,quanaolonnam
2,Bộ Quần Áo Lính Mỹ US ARMY Kaki cap cấp - Quần Áo Túi Hộp Nam Phong Cách Lính Hàng Chính Hãng,1.500.000₫,https://tiki.vn/bo-quan-ao-linh-my-us-army-kaki-cap-cap-quan-ao-tui-hop-nam-phong-cach-linh-p173968747.html?spid=173968779,3,,Đã bán 7,quanaolonnam
3,SHORT THUN BIG SIZE NAM 80 ĐẾN 140KG CHỮ SPORT PRO,185.000₫,https://tiki.vn/short-thun-big-size-nam-80-den-140kg-chu-sport-pro-p198304036.html?spid=198304062,4,,Đã bán 1,quanaolonnam
4,Bộ Quần Áo Ông Già Noel Chuẩn Chất Nhung Hàng Đẹp,250.000₫,https://tiki.vn/bo-quan-ao-noel-vai-nhung-hang-dep-p147419797.html?spid=147419799,5,,Đã bán 3,quanaolonnam
5,ÁO SƠ MI MÀU XÁM XANH TAY NGẮN CỔ BẺ BIG SIZE NAM TỚI 130KG,185.000₫,https://tiki.vn/a-o-so-mi-ma-u-xa-m-xanh-tay-nga-n-co-be-big-size-nam-to-i-130kg-p191777383.html?spid=191777402,6,,Đã bán 4,quanaolonnam
6,QUẦN JOGGER KAKI KHÔNG TÚI HỘP DÀI ĐỦ MÀU BIG SIZE NAM TỪ 80 ĐẾN 130KG,320.000₫,https://tiki.vn/quan-jogger-kaki-khong-tui-hop-dai-du-mau-big-size-nam-tu-80-den-130kg-p196532299.html?spid=196532317,7,,Đã bán 4,quanaolonnam
7,Bộ quần áo lính Mỹ US ARMY Kiểu Dáng Túi Hộp Chiến Thuật vải sợi bông mềm thoáng hút ẩm tốt,1.780.000₫,https://tiki.vn/bo-quan-ao-linh-my-us-army-kieu-dang-tui-hop-chien-thuat-vai-soi-bong-mem-thoang-hut-am-tot-p116909956.html?spid=116909970,8,,Đã bán 3,quanaolonnam
8,JEAN DÀI MÀU XANH BẠC CHÂN BIG SIZE NAM TỚI 130KG,370.000₫,https://tiki.vn/jean-da-i-ma-u-xanh-ba-c-chan-big-size-nam-to-i-130kg-p184794779.html?spid=184794787,9,,Đã bán 2,quanaolonnam
9,"Quần short tây, short âu bigsize nam form thời trang từ 75 đến 140kg",270.000₫,https://tiki.vn/quan-short-tay-short-au-bigsize-nam-form-thoi-trang-tu-75-den-140kg-p259511799.html?spid=259511813,10,,,quanaolonnam
10,JEAN DÀI XANH TRƠN MỚI SIZE 80 ĐẾN 130KG,365.000₫,https://tiki.vn/jean-da-i-xanh-tron-mo-i-size-80-de-n-130kg-p193209906.html?spid=193209921,11,,Đã bán 1,quanaolonnam
11,JEAN DÀI RÁCH FORM SLIMFIT NHIỀU MÀU SIZE 80 ĐẾN 130KG,365.000₫,https://tiki.vn/jean-da-i-ra-ch-form-slimfit-nhie-u-ma-u-size-80-de-n-130kg-p193101295.html?spid=193101315,12,,,quanaolonnam
12,ÁO SƠ MI NAM VẢI ĐŨI CỔ VEST BIG SIZE NAM TỪ 80 ĐẾN 130KG,225.000₫,https://tiki.vn/ao-so-mi-nam-vai-dui-co-vest-big-size-nam-tu-80-den-130kg-p197834780.html?spid=197834810,13,,,quanaolonnam
13,SHORT JEAN XANH IN CHỮ HIỆN ĐẠI BIG SIZE NAM 80 ĐẾN 130KG,285.000₫,https://tiki.vn/short-jean-xanh-in-chu-hie-n-da-i-big-size-nam-80-de-n-130kg-p195478191.html?spid=195478193,14,,,quanaolonnam
14,JEAN XANH DÀI TRƠN ĐẸP SIZE 80 ĐẾN 130KG,365.000₫,https://tiki.vn/jean-xanh-da-i-tron-de-p-size-80-de-n-130kg-p193209904.html?spid=193209912,15,,Đã bán 1,quanaolonnam
15,Bộ Quần Áo Ông Già Noel Vải Nhung Đầy Đủ Chi Tiết Bộ 7 Món,295.000₫,https://tiki.vn/bo-quan-ao-ong-gia-noel-vai-nhung-set-7-mon-p72634678.html?spid=72634679,16,,Đã bán 18,quanaolonnam
16,ÁO THUN LẠNH DÀI TAY ĐỦ MÀU BIG SIZE TỚI 140KG,160.000₫,https://tiki.vn/a-o-thun-la-nh-da-i-tay-du-ma-u-big-size-to-i-140kg-p191777539.html?spid=191777578,17,,Đã bán 2,quanaolonnam
17,ÁO SƠ MI BBR TAY NGẮN MÀU MỚI BIG SIZE NAM TỚI 135KG,260.000₫,https://tiki.vn/a-o-so-mi-bbr-tay-nga-n-ma-u-mo-i-big-size-nam-to-i-135kg-p191777604.html?spid=195510251,18,,Đã bán 3,quanaolonnam
18,Bộ Quần Áo Ông Già Noel 2023 Chuẩn Chất Nhung Đầy Đủ Chi Tiết Siêu Đẹp,280.000₫,https://tiki.vn/trang-phuc-ong-gia-noel-chuan-chat-nhung-day-du-chi-tiet-day-dan-sieu-dep-p146499055.html?spid=205315642,19,,Đã bán 1,quanaolonnam
19,Áo Quạt Gió Điều Hoà Không Khí Nhật Bản Pin 20.000mAh,999.000₫,https://tiki.vn/ao-quat-gio-dieu-hoa-nhat-ban-pin-20-000mah-bh-12-thang-p247265405.html?spid=247265409,20,,,quanaolonnam
20,QUẦN THUN DÀI BIG SIZE NAM TỪ 80 ĐẾN 130KG MÀU XÁM ĐEN,230.000₫,https://tiki.vn/quan-thun-dai-big-size-nam-tu-80-den-130kg-mau-xam-den-p196922838.html?spid=196922846,21,,Đã bán 1,quanaolonnam
21,"Quần kaki nam BIG SIZE đến 110kg, quần nam SIZE ĐẠI chất kaki co giãn, quần lưng thun NH SHOP",85.000₫,https://tiki.vn/quan-kaki-nam-big-size-den-110kg-quan-nam-size-dai-chat-kaki-co-gian-quan-lung-thun-nh-shop-p153772594.html?spid=190708513,22,,Đã bán 2,quanaolonnam
