,title,price,link_item,discount,sales,category,revenue
0,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",229500,https://tka.tiki.vn/pixel/pixel?data=BUl5E0KfiwlBLqmU5YeGRPHX2Gmrqrx5eSCfLzXybb_MgIuge2e20V2V9LBVCXFN5oMV957YIqgJjWEpHLwa8jK6IcEACv_jsXCor-PnI29xjXAKQ6Wk3RzLX6Kj-aANt157P0cew6oApP8gDPWgHFIsOjaKCKlPJgVptfJhPfAQ57J3WPIevCNmgsjslBoPGdWwKT9-I06Wl5iahi_a9OCLcGL82p3roFSwiu1RH-dTB9NaxNh3tt8_YwrKLLnUxkTNeVuFKIg9bgNxzOO1KFERrI1TKWCI5unec_vGeFT2Q6u0da8CYEcAC9Wsqtv8FJEsULDlacCr2_hStwnDbMwwkLZ4_KO1irGgKa8awJZhSLAzhyy5KIE5Q-HGX9WVluC6Y4m18svKlU8oK4xmUdkY7ViGjxKk_5sZfmFx-Qc8g795eFth1rFMob_mqZdng8fJWcHSGDU3Etebz56jwXnTDMqYL6II8VNCp294fejllp1BkUf5tmFlWYPuvYULWyHEXet0S_uo8_2tIp05qI1bdOEJkwlZURRgJUmt5qfMiSninpiKOnNJdZxE93F-VBjockWEf9_XlL4LLqa2bl1PrsuXdw2iowphftQbmxGcfJOWgVUcQuwoY1Egv-iXOE2jIAHtDLPidWDl1CdpPEDVwSmv7j5wnUW0OV_qfY46bd3VvKyNc7lbIpljEzHM0bLGDWX8yxKQEg-NqZXV5AaDd7WKgEKVGnYRxYfAVNOH7GGdXA6SeIZeX3-N3RVyHQXJwL7eWZFgAdUOyilZLzSutAairGlV6xntjauucKn0YDo6yXZ8fq0nk7qjjzvQhJkVjDKZ_pSti03fRSuCkAwPRSihZtiQ5RmLd1HNDwdg-MiEmt9kSCf0aGY3chXabIoZRTj4gc_BLxvTqFkK7s3sTWpdDRpRhdea64gd_HIY4pMvTC4-lls_I4YafdF4mF996ropaCeCwLod16mGecCC9jL8CuyZCuifnkZ483wHoQh026XC7bQLjEwxwax2IPqkLeHyzfB-_nAnbJckHX1rxiellyNumfhYG_wsrx6UT1G5GTtsjZ5ME9UIAmlULzssMKniFGLhT8d6RXNec6rmxr0dQEVNrpKDFWdiofhrfksVqf1nSR4GI0KACERgvviNk0RwpVg&reqid=dpTw5Aaibfq6phfL&type=CLICK&pos=1,-33%,5000.0,dolotnam,1147500000.0
1,"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái",245000,https://tka.tiki.vn/pixel/pixel?data=eoBsvjQsSH0HhEtY3E8B5-yOrty6qIK_qOClaAsFPmZOBqI12xlbBEOT65uOvRcc8OPpJ4AtkfEHdSbVlZixntt47qw5ip7_lKfmLXoEelqfmU_T_JScT6fHcgk4i8xatp7RWUFSy3cGjlUHoh5PcX23oGPq2hFzsOffx4G9bMbU8MkbguRW9m9-GCvPM6amqRXgwE85NL6M2RolrX7jgm7_JpMBobRvnpshULGKSwVjoFqwUOepul9eU0Qw3UVGhViS9NlvXeaYXeWYdtfZ03o4xuI13l17h9N0a5bl5VZNVWEDQkpWz8WW9rMBSvoQ-8djuGKVqaioMdQlswiZO0qZLe1kVpWastFU2AKZRwUyjlsYc7vWBkUiyCa2X3KhkL1Bv78c_aCYDaz8di_h3fOmNAyVopf7wqetM4e2gQimdIrRe4r0HAR08RBI6efH44XICxNh5dA2GQmEYeCXNip-rC_Ur7_lt1S12J3weSwpL9XKwKogqnckW40VIVMyMhDQJRew8jqZ6J1Kwx9qwzoPJ6wgbFluGn11kruqivPB6fSdZbeQECGLy2N_HASX5iZM0CuGkv6TW39NU5onb8RpA4u7kxYRbDgNFyT6yX_q9x246gLje95YOjiEnyZAEP0qXA7dtPvv3IRzkNg7mQn2ey-R1ulWBAsMSyZAAZyFSB5WBoJS0znc0GiGeWrsOvrRNlDBjs1Sr0rpidDsfQivKj981Pi4lnHv2SMvt3Pytb_tGfvfD2X5wCD3ZckFIA3rajpO1-NTUQWJghQu_VWN5uhAQssTLSNSzXWhCWRxS1F9-O39tcM4JEuYKrza_9sD3ZEQFPOsrmdJAZT2zIDL6cgQcOuHrBpNkvOmthntHFbDCpK34PAQdzqiawAK3oujiyJsFFj055Vcep6-eRpqDez_7KLTfg2JZOGyzYWccz6IMQ6_Z4Jp9XRpf3_1TahqFa6F0RGXBuysTTqfc0YVKRpjFBSdIVG6O0yPuEtpA5gekjQ6_CSOzoFMubf3rNsKYUkEY1UXiy3UvrPQyJRW8bIdOBiRJe3ORZb6ttzlm9MwhnrjGt2VAVYZ-hZfJoF_P5NF3d21pNc0EXhaKN2_hQdatrqosVYNgSRG6Cs&reqid=dpTw5Aaibfq6phfL&type=CLICK&pos=2,-49%,466.0,dolotnam,114170000.0
2,Combo 7 Quần lót nam tam giác cotton xịn nhiều lưng có size lớn màu ngẫu nhiên cao cấp mặc cực thoãi mái underwear SỊP HN7,68700,https://tka.tiki.vn/pixel/pixel?data=P3B3p7MHHRcvqNLIRxSr251CVFKb06Q0yrv_0ALej_tgrBDSlYaDlYqLrgDXRuSzIJIL7SyX5omZZGso-eg2YoasPeJq_LKIcYejtLES9TinkJTVwAhIfKg8zlYqta-niLUX47WRnSXmpdsudnS5vI5UIWNlnFsB3upAaqDyDolQEy4KSrHIEsUQWyaPHJTROB7pqsMw13Vn1lgir0MF4Wkg1324LpZgQqlUOxpwNcNATB_j2v63ueVH99jUYdM07epmrTdp7T3G1q26NgTv0A1X4IC78oZ6X95W42kVgQdVYSIAEzkMvSXNNJnEPNAPoNHatxgKcSMus-Zb5FhyMVZYtCLXEz7ADktlsZ5Hfra7YUGHfz1BB4RaeQ-5UKxGVLpKnNIHY5XO8anh5teMqlNQTAMkULnIMAAvnct4JqT-L7q1LM-ZzeK_jVmsV5TQaLZQGI2p0FFIH09BzBBUJDaCaXYXUkv4OdffY4tBnp9piu8BaAdvBANmbsottdzlhsFfUEbmAJHG2JBc-NE88ZbpO0Hy6SNTc1h9doZsvJpU-JV0BIReLYvJVKsGzEtrCQtCg0dOoHDj-zfkaAgAteAZjqYmuZhlKLjKKneUL4ZW7UrjXWq0vwSHW4oWvavoEA9s4AlK5QjtRGZVgtZIoSswUH-7VqNWEQ8O_mvuKhJ9XJ2eYgWTkGPKNvgXdB-8_wUvo7-ktJN4tQSVFmgdDTRvkyvwNeJ8u9FNgSfJg6RH6NOgKbJ9SIgLrC9vXlNuB10_uu6fLxq7fDEJy4qVWrwfbpJyGNsroXDwNmp6CABdToxL25nyJ-KLkbRyFjFVtxynMCI3mquuezB81vj79pH5LKgbmzndXykDWe2XGbjOymNJ2xHsoMUuo8No1EdA9yNs_HYKj1BmX5qHNktCQ1Me-FJOCoRhgE4E30c05ck--SgGPs4_ds8vR253trtSP105hV_a-U_6bMyn2vvj4ncguUXiT7mBA2Q3uOKkX63BuYYY-0T99IUJ8Kn6kp0kAn3WVTFbSKsVNjJNDgI3UvunoYKSaev-SI-rh1qJuID7SL6OyySHdE73hqCduaSY8iUEHh_1f3eBFRLCRhfUceMvxUPoO981ly58oHvDQzYq8sX6__1xeDZ3bl-PEmF1UbZd49wLEdz8LTwz6iwKWRKXbH0o7iSCm8iW5gOs2bI&reqid=dpTw5Aaibfq6phfL&type=CLICK&pos=3,-39%,670.0,dolotnam,46029000.0
3,"Combo 5 quần sịp nam, kiểu dáng ôm mông chất thun cotton thấm hút co giãn tốt - FORMEN SHOP - FM5QS005",149000,https://tka.tiki.vn/pixel/pixel?data=mNdApzBH-YaGjUI_HATQYwGiPrkjiaHzGKmkeFyvIrUHWlLnyvMZphcQcMNN-HCpat0fyq8dIFc9so4zeRZPrlhaJvAqjrnbdZpRKbRKwp1nK7C2-c3ZWKyeudIkCqaepgsy9g9CDxS_pqRI4-tMC-7LnKmg49fL7qvkNKnGtBSTaEo9GqFoxBLPxwWO3cWvWpDZFPX2IlcWv_fvt9y0QbY2kuQS2p_sZ-qU2q8M02PRZlB-W1H2TXJA3PTtZ4Zthj4nqy0yd2H4FnZPceNqQvDcWjfJ5xWh7rjv8CNejKulMZhEWyi1IwdC4QoabVfdRy1reHIwx1TGjM3nyb2ofa6KCdJ-ulmyAUoOYe125MgUMRTENc1GYNyMJOrZtFjcP7xFRellqUoSSGnrAdxlo6UBu1ZEGSnqgwdMIoTlOt4fpOa3Bw_VrGJrfkTlUTVafp785nDTLO6nLth3O9lNKo3aN_TrXTBnEpHENfoiyzrpvf9Ju0W-QX8EOyG7tt3XKGY7VZ_xCaE_bFe7UKjrLb4EHVTDOHnTITDw665D3E9J6KPLDYTx6MXJOb5D-mByq7bJo63QJQVgyE8nMgjQDpW1qkhgOvhBuif_NiaD8XtGIgpLGfASQ2t9KmRP6wUYwoMv5l529k1d0Qix5udxoTufAxxYD1Lny9yFjCx5vopcrXSg-WU7aiMYAA9QstQz9GctPAAS6POMZ6OhYhErbnY7Czo8ZZUPetBsp57jc1Hgvc1ls4n-whWinmDP1199EL3svebcTq6uA3o5LeiPZWUI6jNm7B2qprD9AtkOBjz_w6tQY3rzd0lSLIplaksnUwFJZM8GLS8FhiKyjQ3BMbKov_2OZ2bka_eSFKCUhBOdchlfFzYBo1juI01Cl7rnS7zDSy6joTDKN3fs3GotSBWRk9-sMC_FqFx0ZPsoGb54BKfaeeGqW4F46YTl9QWYsTxMl1TbrNVsPHWjvdK9A3bheGybCUQpjuPR3KLiVgyrl0IDXpwn3JQV0xYoRy2U06cQQou_wAvUYLuFOUimDj14BPbEFDNlkBqyp9qceKbOsG-oUs2_xlIpdO3hIkpO2Te5G3j3tTgNO6KiJbt8KIXBvhgwOlDydlGgH6wlXUhAAzeT-a3BYivlP77csA&reqid=dpTw5Aaibfq6phfL&type=CLICK&pos=4,-34%,284.0,dolotnam,42316000.0
4,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,224100,https://tka.tiki.vn/pixel/pixel?data=Kua4z_5jXooG2dcG1CTsIz_uCXmmCFx758FL2iqcwk6lfwzkNaWMdJS0il7u1Gq-o27JpWjZq7Awy4kQiTfsdIE50jHJi5CydKLbAAyzXim7Bn1U-XytSFon37P0GjPJA99kOIhmbKi0pVUjQJhEnJQ3MrIr6jFJ_5vrR_pSWiehvV7zhhhbRLJjRBQMit85iIt628d97vDVLbm06NnoK754fiyRJxvsOYo94_ucLRJ1IUuzzpnMOAg26v-4OH2oRaXq7xI84d_9SGHtQCWZ8STk7JjjNUIQa-ya-xVVEstnJyN6St61YF76acH4DY1nmDil3GxGbILxS-hFGN5AENVj9YCqH5umZzmn_ZgAtHtMLI9W0pVV26ZV2-xP1zxVmvBeSdNuc7m0UY3Dw4qcil1auhZLiOqAWEAyWk2o1szrEdRQ_6TYLKnNjuJpnecAhy_B-M6ar-UNutSQwwNtTyov63LZwrfegFNjxFKEKDrAiQw0EMYd0-1ObeDVKXticsvJ0qK_kB8jPnVWb3RtHQKXXoBmZWb58lN8ZVebtjNSnVM7AiDsixvb1W7ScmjeDaYCJBuq8OENxH5mHsuLrCuIhEylVqmcv24MrHzj33xtEm0UeWEg9PCcMP0DRZewB_9sxjch8voDtvyL3u59AFeO31TZKthfDlhUgDmyjPYFg6qAAxT1-mEdfPDLq3v3xgkEPNvWQeAYSZRc4_Cgo96NOhUI4NX392pbSv_I0u6Qscir-B0FyvL7Q-KD6oph0-7wCU8z2uehJhVwvRLpNRdIZDwG0eQWBur5el4Dc5E5bN5CAGU3sDCavFIfBm8zLhpIzyjgro0_PCPncq8J1WHxkd_u-OrJ-cDf8wEBIT3mPvqtZgCApAegHv_ASiJHC9T5p_6SybYkHbMuNi21xOFMCtld2GZ8vWE_aLEr7Aldss3cM65a-B4t5R9PuQovRhJ6xZOFhGmXNMdQngOoKDQV37Zzka0wtK8OjBb3BpgI_MC_xdhbHyhjTehayoFgOCjxHSZ_hNn6uu2pYK7DSuuXf8eZ62x5T7LLBdIMZ8bQsgwctV58kyJ6I7BAtIKSpktMMO1JdmChtFwJ06l8tud75phvrWGGi1zgRoVQCOkPvNFgvmq0b93CJlk_nWdRvv_oqXp7C3ZT&reqid=dpTw5Aaibfq6phfL&type=CLICK&pos=5,-33%,3200.0,dolotnam,717120000.0
5,"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên",229500,https://tiki.vn/combo-4-quan-sip-dui-nam-quan-lot-nam-boxer-soi-tre-mem-min-sieu-thoang-mat-co-gian-4-chieu-cao-cap-cap-1cm-mrm-fashion-3-mau-p31638135.html?spid=31638138,-34%,5000.0,dolotnam,1147500000.0
6,Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,224100,https://tiki.vn/combo-4-qua-n-lo-t-nam-tam-gia-c-bamboo-organic-me-m-mi-n-thoa-ng-ma-t-tha-m-hu-t-mo-hoi-mrm-manlywear-ma-u-nga-u-nhien-p31637590.html?spid=31637600,-36%,3200.0,dolotnam,717120000.0
7,"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017",179000,https://tiki.vn/hop-4-quan-boxer-nam-thun-lanh-quan-lot-nam-co-dan-4-chieu-formen-shop-fmqs017-p172210350.html?spid=172210355,-23%,834.0,dolotnam,149286000.0
8,"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái",189000,https://tiki.vn/combo-5-quan-sip-boxer-chat-cotton-mem-min-thoai-mai-nhieu-mau-formen-shop-fmcb5qs007-p56614642.html?spid=56614648,-14%,466.0,dolotnam,88074000.0
9,"Hộp 5 Quần Lót Nam lưng Hàn Quốc hiệu CITYMEN vải thun lạnh 4 chiều cao cấp, sịp nam - LMTK-HANAL ( Giao màu ngẫu nhiên )",99000,https://tiki.vn/hop-6-quan-lot-nam-thun-lanh-han-quoc-citymen-cao-cap-co-gian-4-chieu-khang-khuan-tham-hut-tot-giao-mau-ngau-nhien-p145680551.html?spid=145680563,-36%,3000.0,dolotnam,297000000.0
