,title,price,link_item,index,discount,sales,category
0,Bộ nỉ ALIGRO cổ tròn màu xanh rêu BN.12,595.000₫,https://tka.tiki.vn/pixel/pixel?data=Mr6X8jS8UYaLnaawsUaHwd6gJdhzj2o0zoEwGEioODMJG-_5rSYNc4TXv47NBH7_cpVcZB53V6fYc19lMxp1fC9SCxEpFwNCv70KavHbdUCQTc7vhi-bmXkzcC9hyq0Ik_JxNRJtlP25R-zyaPxFq4H1JkBn_-TxOUQkMh59LLTukMzjld19c8yoEw7Jk6W-H3yR4UwaDTTdPW0zr5VktGXOyVW9ZwqCCD1Sny70phjyRfRi27DZodv0anZm0gFDGtytRt17TNG6Tc2ada9dFzCcWWRzeNlOhWCslcsUwGEdSmBi7NQzz83U7NDd2ywa9e7pNaoUcERTuNMBtKCBjQqBRfj2wIbjfv9O7tc8x6uELhJokDxoFOL_arHcR_JA8F9F-TKTF_2IOpaeNLepOYx8EpEdfcXGy7Q2GYzc1UJ7qzhrwvcsBYFL8DBn9OUyCqmxCAzLtqiR-T--7uW7Iz4r_YFmX66ovw1WWRok_qXEZSQB-K4VyO7GZHeCiCJKosU8zxCkOktqhxUzRxR6EyAUw7aQitn-i354P6Glp1tDVYEonfdYPpcxTZDpnNW1fTyX8nQmzgfiPwjdwMaysRsOa_4nMcY5XDnQjbxHWhYxUyIkQFDzkexHSGIM_9osYpRBEJfAElHA65IPjb4gdL_inz4WHLEYtNMeqr25YDMtRiQib63nvT3p-SpydARTChBUYXugYRsVDfrAb7Xh8qttlxa9X9XGGgn7mHla9ZSDbRvMfrQq4pE2oonR0hdj5WiQ2fqgyPZeaz4bZ0Z3IGa6VMoQXxOCca6yh4vl-ZpSAxmrPRO-OCREX87pk28FPWhZGeF2nicvk4uFFfZtAHvVfFveAzb-6EO3wS-AbOn8iVJ7axzuRoJSDJUEY6105fxxx1QE1G-sIrcg-0IWxvq-_68MFB9w98UR0oECCa76uh9S3Upx7rxQr4mxEaCyh7xHzl6m-H6cQ7JQLhWNouhN-IVM8inQ9EBdGgaMlvsRAwD_xViKylNvRTMT9HA&reqid=TnzAe3bcw87L8283&type=CLICK&pos=1,1,-30%,,aohoodie
1,Bộ nỉ kéo khóa ALIGRO có mũ màu ghi nhạt BN.18,805.000₫,https://tka.tiki.vn/pixel/pixel?data=B9-P2wju0xrESCHbMfo2TDW786pXMBaJrrdnzsXzpd733_5CiEbAanwup3UQX_yUuiNbuh0jv6fFJym6bFO7XvglzDXorosvMXThbiTVN5mY66qivKVkfkzxniH2kVNe9N3YCSMl_J-IRCf-liDAXeYyGDkGoY2WnBru8T3HLe_LK50N6g_uEw_io_V7Y28pkUHFAh1UA5PPyUrxbqDuAZR4euNkOKYLZCzm2tgxp_5VrkxYUDz_WPKV-DN_EzC4mfY3RGE3W1pxLxPqQlB507JRJLjGrb8KNFB8uDQacJJMZ5EG8l7a7lvA8vT6YpHz2nOPlJSVQ3aJLuQjij57heECt0R1gTulB13jwPntam0SI_s8q-auVeaNW3ly5JQo11V_kjKCZ1H2NpSsLAafGLOHeQqRQsiXm4gRUD1McaDDygGoQk_ju3P6PQ28EUhmKvEXaVV5J-St7eMNFLVeP4lR8rUXGiZg4qcyGWCvwIxubMtpP6HQdK0WFZ5_p4B-OC-uNwxegQmdYqpaogzR6DfrmV9Lq-JmccIpvqwSzUVOXXLprrtDSg8P4yGtBiBwQmW57pvdAypPOiIB0d3pve-5UeY7euAlzEPT4XzH2w9QotKgx6irYza1-0PBwQZiVwwFAB4h827MdY4kMJLkMb9hb8fwLUTEVAbOjdSEhZVXcylusaQEx-RD_EXgSJA-2a2hbp1KxV2EnOX5hY1TGkutPvcJ4oxoaz19qVMXvIoBLVMvZolqkcIvLT72cTikRUubJkHfdqtQKAuZM8_QxwPrHvWer0--dAO7lNMfc4b17fWW5GksMiVsel9Kh3-p96htghrTJBXMsD_PbWTRytHl7EWHwX_InWaUZzjhepjzRdZH3PzXXc-5iqol2QHYky3_FajBSQP8rzC-atO0YaKEm-8vens8fN9TzVGv6qe7DqwXgl7xrUGj1gLgTwrfrZXIsoiO02DLxHV3UZpIVgTedWJEn6G8tiPXPtzB7cxyrL52GVJpXDmFTKGBNFZjLNq8FRzs&reqid=TnzAe3bcw87L8283&type=CLICK&pos=2,2,-30%,,aohoodie
2,Bộ nỉ hoddie nam ALIGRO kéo khóa có mũ màu ghi đậm BN.17,805.000₫,https://tka.tiki.vn/pixel/pixel?data=3IvfD-YEDLJokAOKfel_yoJ-FyEKqX7ss0v0aXQETf1Q9iRpSmaqVsg2bH2RSnxvNkI1wm1T5n2AaMJRVxdLHmoxBCEuS9V4UUtA_L9_L94hfxSn2UnuAqFp7SR98cLzV-px_vJfam_ciC3Y6EFr7Y2NKpE98n6-Bzt335BicFwndBXpCRIDM6HlG4fMjC9bHtMT6DzMFow7iuDddWmI1bdTVLcOmrNJeYMkO4ylFJ_E373w6zqr3DF2xMMYpzQfEF2K_F4HFzB6qC9BNA_jRePynSCV8sm6hQu00jRChH0TfPkkXroOLdL6Yw762Ymf3JpnPdKPTTU17KfYDbSPrVWpH5hlLsTVLoMdfCnP6hxEiCUrc8jHXfwyW2rkauXCFLM5cihOn1ol8ML2fgHjfYdYTDIsuIoTZTt5SBMXlHlEwa91rL-v35hgJ26XRxNTuvLhusNX6wofYsVsWeYmTziSUgjzNB0SoBchwo3DzdzNnEb0zSGra2bpMPUflLUSdEYTeQ8JxsEw1xmT4Kklgqc9sDUPK0J_dzP7o4i-A_CQMu-uwQcTaVyqwtKZs-WKYE-A3PxqNAb-Kbo2bW5xpPbBhCiTwN0iPi92DblTThgI6gxgqbxo8Doep21XnCYCxTgFDVKeTtAqrfhsptS4WuHtQjJoBogWGjQauMO50T2PNHoyQHfmVz_Fn7W6ra2u7qah1VaKTYFG6iJnFQKPPaGAarWXY9eDa1PHRO_l1VpEo8LoZ1cLS5oJR7f2ByYlYjeNO25NSPXDZTHZ3JeEQFMPJXulIqMx9ClQteaEuMhvIuWS89XzSTdb56xxSGZ5XBwRPjFOE6kuyHZGRmmdDJBDB9VrBp7F4-59g41vwzWS3hkNgOKDLmjcTsbT-5JPzPGnTAKMxtDsr2lwj9tnS-EAAUoARHdg7anPqxZ5KndRpCvbCiSD_iCrYG0SfPJEo7iAfIbUtEfrrqnra--MwC9FU_HgmpfytECuHcRolVhupPcYRYxCeGX9vA3ypVOvCj1PS-WexlkC54dM&reqid=TnzAe3bcw87L8283&type=CLICK&pos=3,3,-30%,,aohoodie
3,Bộ nỉ ALIGRO cổ tròn màu ghi đậm BN.13,595.000₫,https://tka.tiki.vn/pixel/pixel?data=7yYmGToSYp3UMnhMJygOwZYLYkzGxP7Aar0W7NvYrkH1U3aLeuo_jPPMuF0Vwa14C7BavHyt3VAylezVI-uq-hOfZ79MH8D629H0TBvAtuJFFYCKTtk_SzQMm4SjgNo8IFDnwvEbngNDJ827agOUqbQy04GvnRVfpxs-jATefQOXBIF_MyoHvBMcnhucnyUEAAbNGi7RL9f74Q33fusyhjsJUxSE1Nx66vaXboNkfryGVzdbhUIL4BcdDKZw1iPSo9n04MWstpFBr3VctQlMPdzC8EoenXrczFP8M9YKX4ZKvsllb2Le0yBREbM763ToR4S2gZkLbBakQQD45o5rqOVf450rlh7thJjHut0d3Ia9BT8VC2ypWtPQjJQ7kur7aRDiDD7H5Hge-SBcFBNU1nmDNd4ZkiWpsWMs9LSmLEhY7TUi4wdnlRuu4UkD9Gsld4_D77qw0YpJZ5jtBgy4f2MC8TfHYm9tXbyydsjXXsSu4Oey6Ws9atddv34wO54qm0B8UY3qXpb5eBz0a39eVshJpMmYAdTozMUupbBCcitrfp2xCo5s4yiX3zuGBXZ9vLgDBFYND11u-piXxr53MLZyJXOdKF8n1kkVE1d717b0ufAScht3gOVpO67WTNcjKyVJqkWdumXNnDs3a42dUH934Hyja1HG4FA2DLDk7CylBipMNoddjRoOW6hGLm5Pk75njUCDvaGcDej6qf2FdCaxei9T4-IigK41zKfh_IJWVu3GrHUi0vJHuLhEyyCXHmRollLt9svf9yNszYHPtC24_mQ39sNJO8uLxgApo1Bmsk_4L_yDiYlDiMdWuo5VX5E5Ui2r1UTpZQpUubzJ076xezS0X9Hv1QtfAakVhrhUQnNEtE4lE-deZ4uUy3UBSYVO17u078xMi2CYwfjLsLY5fxtjcBgqWxdNEGkHsKljFoVA_NL6SjPf6HuEbEeq9FPNSBK4xRniy44PaGbd-cejQPmq6BYKiaetXFnqCvECeRXSgjL8qa6TZ4dvOg&reqid=TnzAe3bcw87L8283&type=CLICK&pos=4,4,-30%,,aohoodie
4,Bộ nỉ kéo khóa ALIGRO màu ghi nhạt BN.21,665.000₫,https://tka.tiki.vn/pixel/pixel?data=cNAPkdqxzy8gueHqVZ1S3E3JzPNvwpJuVEzIYIjSbLNFxV8B18wkvFiAnBxodTNzd9ywZNHSxRWXE5FlZQokrewiYJnDfVtzaL1FxfrGC0H1K8g4dAcQ6z5PRh3l4m3mqShMZi0JkKhcEJsjyi3QphiMoM3PI5OjMJa3ZCI8yksMbJY0EIkUnXwWrtWJOemwBTeEwaepYGms3u5_Tb-YecFyKK6RjM6ZS50ldjFERKPyv62hdL0U70T3i0cXavebdST5DCH4PA3YmB2WXUMIXIdSKN5G4hfp0Vw6ZKAsMAvGVMnClY6ozbekJWNNbiVRkLplwm_De_KMCNNuU9a3ocqvzKdM6eXyPLt6WCgiZ2XM4PfeD1ux-3a3GYJ4hfzIf3KFQ4gyldX6dfLe_xUjoZt3ZzlSC4wN3_cWFO8Pa7D7cFzIdplAbQWaZdlf4Frvl7jSzRhu107qPP-dmw356mAncXIslyrA-TRu5kEFfQhoKr10Fn8tJPMRYmo_6tyONkAttO0mhotgc0nu5MWDd5jvUKQ8atigNfqJUWXJyw_M3LqNPAwsoN250buOEpKSWzDCUhK0nayc9wmAz7jnY_36Y8Uhmb_nessrZO--yqDcsWKnTzGW0aNaXqDz1Euy7PwrV-BM8VWI4pcFVeZRRmoBgLzQKtzje6_Upt1UAqt-c31DIzzfQcy5Y-m2zFYUJE0av5iSA6hQivTGpM5WCAnhIaQYQzdvMjQ6XeCua9hVASjM-q10eAa4JhA8VUbnZY6gA2whiT033lt09WIh7n-XZwv3hAM-vK1QZd48pHp9DkZaZIf5Ww9X7huG5UY65Me-IDa7ht5IW_ZX3QQmYseoq_SLSiZrcc_sH2TAV89_P81GnmXLhNn0WDfFUzwg83qKu9uq1rnEJUAAgxz6OEaH-1Dm14eeL79wuuBChRdEZ7qmbl21JwE-Wu2VuLUxj8G92TfitpDEP9u4Soc6fjDtlALdV2l4FU_mAucYeprUVkV_1HA8TMhog12FJnyQ&reqid=TnzAe3bcw87L8283&type=CLICK&pos=5,5,-30%,,aohoodie
5,Áo hoodie nam nữ form rộng Unisex một màu in hoạt hình cá tính Hàn Quốc – FORMEN SHOP – FMGV034,179.000₫,https://tiki.vn/ao-hoodie-nam-nu-form-rong-unisex-mot-mau-in-hoat-hinh-ca-tinh-han-quoc-formen-shop-fmgv034-p71909603.html?spid=71909607,6,-10%,Đã bán 925,aohoodie
6,"Áo hoodie nỉ bông unisex Homies liền mũ có túi in hình UNFL, Áo hoodie unisex nam nữ nỉ Unfl Studio video thật tại Shop ,Áo nỉ bông ulzzang unisex nam nữ siêu đẹp, Áo khoác Nỉ Có Mũ Túi Bụng Phong Cách Hàn Quốc",100.000₫,https://tiki.vn/ao-hoodie-ni-bong-unisex-homies-lien-mu-co-tui-in-hinh-unfl-ao-hoodie-unisex-nam-nu-ni-unfl-studio-video-that-tai-shop-ao-ni-bong-ulzzang-unisex-nam-nu-sieu-dep-ao-khoac-ni-co-mu-tui-bung-phong-cach-han-quoc-p146265626.html?spid=146265628,7,-30%,Đã bán 143,aohoodie
7,"Áo hoodie nam nữ form rộng siêu xinh , Áo khoác nam nữ nỉ có mũ phong cách",110.000₫,https://tiki.vn/ao-hoodie-nam-nu-form-rong-sieu-xinh-ao-khoac-nam-nu-ni-co-mu-phong-cach-p141309645.html?spid=148697919,8,-30%,Đã bán 23,aohoodie
8,Áo khoác hoodie nam nữ vải nỉ xịn quảng châu mẫu mới 2021 Phuongnamshop20 nj20,115.000₫,https://tiki.vn/ao-khoac-hoodie-nam-nu-vai-ni-xin-quang-chau-mau-moi-2021-phuongnamshop20-nj20-p165995243.html?spid=270813053,9,-30%,Đã bán 2,aohoodie
9,Áo mũ Hoodie Unisex MonsterX Gấu X form rộng 5 màu nỉ bông cặp đôi nam nữ Oversize Ulzzang thu đông,105.000₫,https://tiki.vn/ao-mu-hoodie-unisex-monsterx-gau-x-form-rong-5-mau-ni-bong-cap-doi-nam-nu-oversize-ulzzang-thu-dong-p137947751.html?spid=242841156,10,-30%,Đã bán 3,aohoodie
