,title,price,link_item,index,discount,sales,category
0,"Chân Váy Nữ Công Sở New Design Thiết Kế Dáng Váy Chữ A Trẻ Trung ,Phối Phụ Kiện ,Phom Chuẩn ,Vải Tốt Co Giãn ,Màu Trắng CV0072",329.000₫,https://tka.tiki.vn/pixel/pixel?data=Fc829pVF_a3ezHM-og-wclG1QCtu3OwAldy0WY38I5gQHNc2OgFgtFHdAyjHtY_mrQ7evCjvh0cBum81-1jesjD-gvkW7nvWUzsw9EedkUB_RZOs6gvy4YdBtVM_qhf6z-mDJBT21nEcdIP9SAfS-BLRrexMHxhRYkKyVVU25PC96DhZjOi0zwik5myXIqBDDvP3UG5Y2cGQIQWfUKzYeYMABuZ0fwV7N50DgJFvNbI8btarzmpZXW7j3HR3FvtHUdl93cAzuVs-4HhrwxHcwOHckXdISsPjGkpkHh9Cr0WN11Ta4zekTbCb5FQAHXewUd5Kl7cOBkm0Xn9H0DoqoaBZJPMe58ASSlMXyN_WAItzI5UpFDOIGIE4U1ccJUwr01BDoZLw_e14iStews-I2bif08kMCjE1TjY9X-wrdMb5xgvaZ_IjM_RASckfN5fPC-l1I4aqUyUg7W02V7v_ouoChqxVqBQbmoE1gaYxBq0056vkO3f_PDWYIX4MjZ1hNugJPwHiIjLQLRxiDJ4JaY5ICJkXy_G9kcJgdBImkvbe77wl48osO5DCPH2_exU4gXldeaUn-ca3OTTs7FeayECYa17P-qJ_N8YDfjxJiOBXYtFXlkgRXLflCPD9DwSLgh76TDPlBClJgUtj3vL_ztBiv6rpRUA0rR6PfQaISNldFYLQgSGtGwq9qDvXArGUN034KkJg1e_-fj7kJI1-D6veltAr2wPufnr18pxjdv8WWbB01iAw_nPMLgfnvKHHjMhSQFVf3RxP507oe2BQN1TYOVjlWeB6hFVgy546NH0OS98zCKDsIMgpV_bVu2MtJu59C9iATCSpMgiJp8bpaL2dE5WpGxPZnXHiH0MlhHD8j77ZQsXM4VFwJXw2Su-tGGJ7_jGKY-_Lai87Tz8Yuz8X0TspGD1KfgJmhNAPjog6IXMBwHHbkwLakY9QeSrA3OjUju9fGlYu4tweSD_I8OMDqs03YhQkx9LUgBV_DjfHFl3WQg66vnKPEDBTgdFXekQYbxiZ2993hoCdBPjNjb0pwH5iLuL40SFimn9IFHlHnrz5j02_hgUXWtJWDEOyKf1_9VD5W9WGBn9zvThVM5jMm_y9jvAUK1CRPOcjCcwyi-tS2hv2-hMajfxzNwdIzyDSkV7cREGfTBAn0OOmwGGXMHM1IWCF1XLaavRMHU8WIbRDfHHMbgGF5X8MLyFRW-mIKu9Vl6XfkJPXNA4je3sHP7pEDgiMy0c&reqid=zPiwj2ITRD74hYbI&type=CLICK&pos=1,1,-37%,Đã bán 9,chanvay
1,"Chân Váy Công Sở New Design Thiết Kế Dáng Váy chữ A, Dài Qua Gối ,Phối Nút, Phom Chuẩn Tôn Dáng Sang Trọng Vải Tốt co Giãn, Màu Đen CV0066",333.000₫,https://tka.tiki.vn/pixel/pixel?data=b1t-fksuCfLEyArg9eCGhShn27T4XuLclr7LrdI7prrYlnmlSGXsm3ltLPxGJpc8U6AXaI3p-E9IZcZJnjBXeYZCcjfIquDmoVtP1WPYoEUtrfOPMSZi4skQtwMKLaW5xPudjbMj0quYqWg2i2oB53soutdXYOAR_Uc4d8K-fIA6EbVnCGJl6LQY9ObsEsPmUS0imb4SJr7weOA886Kd_E95aC8-P5Vi71FjEbYHTWCWxhv6l0iwG8qyjjWVr08CuZI8rAGFzaNEcWme6AK4RAnF-So9BOm3rr4SX74Uu13iy6Qg9DhyRGPlEgKEc8wS0pCvwGgoy6GRi1h05PrWlVTGbn_CJubKXXKN-HyHPIYgara1wwS_1kZgCfz7xzWKkdzk2XOqAm0seHi9UCS_fWD3tT1RGdwAqDhP3w_4h20g__2OKSKT12KTIROX4uecNWdB780a64rP5ir2afpTAak1dgfmGFxjbSTbnFOR2ZSaQpf71hSQqrheEAm_Rv-qVh6lvIJNFh-Tgk99_oXbvemNHregeKAFqqyK8hGcLfPJ7rHeS4etjGCeaI-OtPM5GIBU8shI-1T31UDGAK3vOP-kpeta-wgivLJEVJocUwQzvJRYbh8GA5rXXbe5PjOClgPovMcv_7D1jxfJAdVcpCoMOn3Dc67XP5BUWtJ81bOxp53iCVDWy4fMlDQKGst0mMsqkMi8sBZ5mCHyozYFoDXpdFALjlXk38KgAYKEctZq3xIyMNcnNtMJogFbgc3AVfX8WMNKgtuor3TVXrVgFfAVz_JLr-lkfVNWs2ZoAM9oF9OjaoFx8aI-K-wICndBCjjy377AAaZF4_-wXAxNBccxLjcnjuey-Hwui_U-mmfir_NtVW3j4pJ7viAD2X569xIKiBUBL3CaNjaQVL-z01VrK9BVncK320tMtzj_A-aN3M4Viuq1TpmJ7XqMVcX9IeuYpqCRlT-KTvRWcHLiQTGhl4qi4MKmbf-iG0UZvoCdJ3zDaGloZO-j1LE1VsZW80FSfM3aiLFVyHTHH5oZzryHBa8a8E4o8dkdj8LCgjIUa1EusolRZhiTCBxvHGB-GV03Pl-EAdoysvUebXOk6hI-Mj8-0_jiQhw-9-ljFu_OOy2iysxePQnakeUrY2dSY65z3vWYaeQ-TQpuBN-9kRZaCNMvGpGuPb1hyPs_HwWOMO3A6hoLTqe1yjWDgE9-euwkgIDFRtszhdAVlanMR403KFJfX_3L&reqid=zPiwj2ITRD74hYbI&type=CLICK&pos=2,2,-31%,Đã bán 80,chanvay
2,"Chân váy công sở dáng đuôi cá, Lưng cao, Ôm body tôn dáng độ dài 60cm vải co giãn 4 chiều New Design CV015B",349.000₫,https://tka.tiki.vn/pixel/pixel?data=c3JaIGVm5OAwDmWuvn_gmw81JDePxVZDR3ZwaVoXObBC4IkjiqMrFt4SfnSpW7QB2LlVpm8BRXNXilgnTxbq8IdPCzfP70qn-rAciaqEmo9Oi2F8a_5pnh_frKVmZagjjbPJeGH-ZSi7iaxY46bg-tiAFeb5woZzNN_xWUPdws-vNEcrHTkSb-Cb7a8xea63HqLAhaCOO7zQDGEkMVNlYN8mSWbDKzQe5OvnMar1HcU4jjluzdMtcNlxXchxUEi6m9vMqZQLiPHNwj8iDntK-I2t4xYWiQG3l5wOknDHkimIR4C1WQQFCA5w0vx-RvWJaIkR037zP83c1YlgX4BVO8G2OL1CUUTWs_aK6FOlPkluINMC4dbhEcL461qVQpdUO1kqmNxpOlOjkJWTqMU044ok07HiiUYoeUQsbK5ruahJNbqUgvsGlAkmr87RIZiiXvu_VekIR5-_XKqDqgLC2Dh-S9kjihEdOFs-sVKuBxDlCpWKoS2RQOhSo07QMrgMHB_r6E6VX3x1oa161IOIlS6V0eVaDcbtXk19ZPy1me_mMEEiEO3H5SAHtyQD68nTIo_DEWfIv9NkovE6Fc8a87r79p5_i6512H-lZt5E6OPe7J8K-4VLGmLvH-zJlP5QtX_YPJUn44kC_POyS8-ZCQj2Lg8DVWCh-iyi7y7VRCWdVOf1O8c5P5VGWYLb5dRiw4EcfSqrcPXGF2O2DjpDMVGq_DUly-goYgrKKO8WnCXcHps2idOO5jZaBNXPQibhwHElY_Z5OIoATpmXVhng73przaqeFGN52o1J1A7D3UK-_6GWT_tuJv7Y-Jd2rLtjd5zugllAhcTbimkwzLwGgA62DL-qU-qre_J0g5DbuWFjt6sjGMujd3eloYOnVGzDdQYn0Nyxw0zqFAoHL4Kzit9_H8eDNxJPJb16o6vyUBuzd6IbVt2r9ZGAiRVtoABsbVzHTlH7QC6CUUMcxKeta9H-Z01TE-0U3RJPpGhkayXX5fzFrIo5cJOL1ojgl4rlIlhNXrkHtZ4XxBR_w5fJQqeHHIBg4zTKSWDZmxBNznL1V-3-ybA1Mby8uquxlOIBAd9jp3yjemxaGwLxu3NEg2wDHY4Y__elcBrYRJ-z4d-b6dt6ptRbIEJNdMkP7PnmnxKOsmaItMLiiC4GSw6vLTjH0Rxf4cq3OJbBB6elCLQdVPMdz4jGcDZwsdPhjuZft5u8uS-9sV-tMJ0&reqid=zPiwj2ITRD74hYbI&type=CLICK&pos=3,3,-37%,Đã bán 4,chanvay
3,Chân váy công sở NEW DESIGN dáng midi dài qua gối sang trọng vải kaki thun co giãn,299.000₫,https://tka.tiki.vn/pixel/pixel?data=hSzhBFnm8kS_opzudhQ8K3INZTwcHrBzkVa4_KA-b8QJrDX8z7Vzk_SsxJHTqQ1kLpXAnej-8SoSe-btCPqIZJCC3dERzeKkcfTO7NqtsX13Hu1eXJRv5BRSpm1RsY0MV__EGTCF8goP0XZtNowslCPAU8p-8HHQvHkvfV0FLcZ7hvxpkDQSh63hD7xLWHxN1ow0lur9rs_LeglEcMH7xROd_1rsuz5TvlS3PvpwobRxOm2GdHJY1NPjOaTFYtVtHsgXxddOL740jkBRycZMXmTz622ciuTL0snCdUAp4w_KxNTI4frftRf6S9g-VS9CWuK-KHb_lckmmIQOvBmLNm2z74I92zd6GdfPJ7FnocK7hbXJ1hqkqo9Wwjq44-3OLvIkGimuiCkOP-BVXOCxm-t3-xUUv89-EDLp4NJiZj83pdbnjds-oNOy9ar-vTK8uqn8RwHhwDmkh-wjhUUIssu3nGvJVp49HlSB-UgzaeNIiEZGzbObfBqX6x9eH8mcn3KP4ymOo8qIvCh_-gDUW4duktD9uojsUfhQFFrhu0lWgvey8H8VgOWSVz_GKG-LZSbBQMvaiUSZ99F58NhzpHV363Uz8UOgykgJYbQf2dAMxxXgGV74Anu7AqZFbNhpEusexVbVXgUmKQvblrPIr3e-W1uW4kJaiW7QgTyNbSgULciMxlY6cjdwMmxbuKYiScGRQIR7iQm0u8Uk95ormAnNRpSRl1hhHSZCZ89uLq9BtlHMiSrbn0pQ1hta27X514N_CrI2bNLGEC0nuuW6-3xj9DjewRWIrBqvFQSVyl5goc-BWAkBMZry78YuMMdj2W-7MVSUgXov19pH1SpT2zkKa67fcjIU-hDAPMwtGIfpfxdmOh0Twln9tRzYUeC5stew0HI_w8igmi3wCWnUE7EutJp9-7R-2y8mp4l-F-bVf1AZN7Sk7kriJzxHljOAv5s531ETjt2rjNSrpTXQZgfaV8Rt549MV10D8IX_HRJ125UKFrxi7KHjv6IvwB5he32UcaQXXtD3plw4xsSaedRNLlmkqy3x7N-veQAMI08rQBTgnBDlgLfenv-fYN5g0i6sXBVm6Pdy72BwdyZjkcH0yo1unTHpUldzNPyNAfxtbH5m1wPsRzUFVB0A2-T_jC1MS6KAMMRrfpHuBBLUq9HZfZc6uJW8G2riuUP0CLBB9xUDWTmlHPzrD6o&reqid=zPiwj2ITRD74hYbI&type=CLICK&pos=4,4,-49%,Đã bán 15,chanvay
4,Chân váy lụa dài dáng đuôi cá cạp trễ cao cấp,239.000₫,https://tka.tiki.vn/pixel/pixel?data=ARx7t6JDN-dkQSeJc7DUnHm1uhCLmpu0o3-opb0ZrnSGwgzeFjt2z2iWysFLN-wETtYzttsOMJ6MRvvRkOiGWfPZaK2L8_qZmiR5u8sproDWIXfYT4VLYwZ3BmFKqsrZZxlUsKnbZb4f65a9qW1ZphHkngoSUgK_fPAuxBNrfytXXCr9DWkGN1oR73uwfcLkVsLaHddF4Pzr89AEMXsN0-eo1KFxKHwryam8ZunhU3qEH5nz0qg7-8fPI98m87qz6wPQEesxdFU_nPtaWokHXAOIMVdcTrJez8a7xRbc7x2C04JSoEM-_WvuiHV897aHIxgfc06ZWNdV-LEbCNwghpqfpRjR8kfq7Ec63LABYmrQjdhNbJW3xaoMcb9_kaIcdSCpabPSMjLZY2sCBdxRHxK2IEliMXA0jBSgteXP568pRfF9slQ9jIqD1mEsqhqs7-G4ChScDqVCFwy2APE82DKoNLkrzsBrT5WucT4UbmgwBA6xjhvaM4zUWccxbQLRdRYmnoDkVmPWsfIMTzMebrMYuG5c6-d-B62IRSuX6LQpm_N09Bn6CCGIN7oxoABzwms2ceu2udDPOSq1pF0HUKx0baakpM74qpnZYx4FAnBLXs_CIZod0hoaQFFZ7WqeQanHwhukyVA9EJIzPchJ120V-8qh1qNIukUrGPmaxsYIxXvHtDXLVD3OXDX8bP4EBqsTIPhYDUNtTwqWqgimniRlY7-B0txh8GxZcnQ5IF_6EwG4kYkU0qts85oZq3B_eTgO4q1UvOfOxCyZIVLM2Qgqsxk5x3TBYkcuBEd8-p99BACqEgepO4lp_xV76QqEdvsRjRAmpuPte1djbyy9vDBZc1J_jQE66phPhIY7tR9NMSLZi4GqDJUZYbIPLbw_M0VxNE0NTYcqC4bmI2iTYzri15371w-02ibp9VFp7wei4EhJ4VCKQUqbzUGyebMYwj5l_J7hvzKrUCBCBbEZjfXN-FTG2wxN8jidzuHHFtddguHsNXBo0uWhqOyUI-V5F5KNJK4mmRm8kl66M0AgfRL2ZkcATnHYD97p4S1cPBbfOHIQ_DkB7b4ge_anIzAhksI1SP-SRcFEiELnmibdhqsg1UuchS5tliQhucFpv9fI-OMpknVjagdNwcbqzAL1WA&reqid=zPiwj2ITRD74hYbI&type=CLICK&pos=5,5,-47%,Đã bán 1,chanvay
5,Chân Váy Kiểu Cạp Bổ 7 Mảnh Dáng Xòe Chất Tuytsi Mềm Mịn 93CDS2007XT,309.000₫,https://tiki.vn/chan-vay-kieu-cap-bo-7-manh-dang-xoe-chat-tuytsi-mem-min-93cds2007xt-p243090361.html?spid=243090375,6,-40%,Đã bán 134,chanvay
6,Chân Váy tennis Lưng Cao xếp ly nữ - Đen,49.000₫,https://tiki.vn/chan-vay-tennis-lung-cao-xep-ly-nu-p167500965.html?spid=167500968,7,-32%,Đã bán 19,chanvay
7,Chân váy lụa dài dáng đuôi cá cạp trễ cao cấp,239.000₫,https://tiki.vn/chan-vay-lua-dai-dang-duoi-ca-cap-tre-cao-cap-p272556413.html?spid=272556421,8,-40%,Đã bán 1,chanvay
8,"Chân váy Tennis Dáng Ngắn Thiết kế xếp ly đẹp rực rỡ - ĐEN, ĐEN",69.000₫,https://tiki.vn/chan-vay-tennis-dang-ngan-thiet-ke-xep-ly-dep-ruc-ro-p182297563.html?spid=182297567,9,-49%,Đã bán 1,chanvay
9,"Chân Váy Công Sở New Design Thiết Kế Dáng Váy Ngắn Ôm body ,Dài 52 cm Xẻ Đùi Phối Nút Trẻ Trung ,Màu đen, Vải Tốt Co Giãn, CV0044",278.000₫,https://tiki.vn/chan-vay-but-chi-cach-dieu-thiet-ke-phom-chuan-chat-lieu-vai-nhap-co-do-co-gian-thanh-lich-cong-so-ms01-p145289835.html?spid=145289870,10,-40%,Đã bán 8,chanvay
