,title,price,link_item,index,discount,sales,category
0,"Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Giấy 1,2kg)",485.000₫,https://tka.tiki.vn/pixel/pixel?data=Rolrf8eNrRxq1QqRZHkNZ5dafxH5nOVjd2by-FZ6khkXY0bT-bPeLq5sTCFZaYK4GtUYX3-YeFAEEAmibqPzQXPVRW8BUW8Ctq2froP3zbS9pLGDFFGnv5dOGKz9H6UkUG93a-AMli9CD6GXUw75U5HQcHiuxiktttucwdkT7vPA9wc_bqNYPEkSvaTNhzYv1-sX_Adwc2ZQPpKPiBSEuE9SPU9a_VdowQLJBG9fapBMafhGKgNFsBDNqeusRRXDxIgW8XNncAvF13Hl5mFPrLjrhlbtRqhDI76WASqwq2ajOyd9t2c1COkjFRz41AIUM_u2bAhcvjqM2-Mz73jTbpciwskY9T21yH8xNafzaf8KS1EEHauyf05Xngdzs5M4uJIFK6CLGwHLlLWAAyAApXb8GpiWkFTL1c8izLVFuJfzYwWvfKP3Lo0w6umriBjhUubDWru6bj4n8kMsBdewcBQaPBXyabsXsJALNKQ1TQbu27QfzfmkCbV_bChEBC7UEtRSoyWILzyGl2MM-sA_cOEiEkR3FUok2CIMKpx5g-XU3ZbFfm6SXDQP9atKy4Q8YK7P1Gwcd6uP7j1xt7_5JoY3rKdJAqplbIW4D-gFjEk91zTHrNheDa0PLlt48nGNJJoeDL3A_cabBst3q2r1gMnYjIYcq94xDdJ6JZO4-SDAvjOtHAM3njyRUU8yoZza0ELKYOTEc1q2ZnT8zPDJW4zyDjrX_QgnhLz411gCXSM6mq1pwi2damr0v-LcY1tL88SGZRupfQZY6y5aCURo5KVGcELW70dT4PwcM5UgJqM8LX0oqMuPmvtXLuuHeTnh_o_XiB66Gh7xZFkyJV02iKz7YXR2oXcDQmknbcINPRzHCCmLCtscrrEWTh8hgK-BEICQbXsteOGb6pN4b3qlh57KjxX6VmMec5Pydtd1Qh6T78FzUMedRllIhWYWAiKAHGWeUbW8BDbmcV7ZihQ3i4SftaGJLFf-tNGr52UHoXhla8oyVUcmhZX3apeNGYTQQHdRUPRNrQl_wrEOeG__Vej5aXwJohA3Wv5Dy2OIgI4wtKGA-uNJMUu7ogAXo8GJjt33NoWaiZqr&reqid=7803rtaYWdpi87uI&type=CLICK&pos=1,1,-1%,Đã bán 2.2k,dinhduongnguoilon
1,Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Thiếc 800g),395.000₫,https://tka.tiki.vn/pixel/pixel?data=luZUIQPzribTda8Zk_dPp81E8c98fMBJ0-_1MAUnvRh44Jxng9SGKFOw17KckUuOggjeoGwd-xwXsndOVg6CE5xyI1_WdYQkc_IUPEMVzUg18LPGCKR0szGQtqTgst1GcDqSDzjq0kM50UO4rNRYGrWlgNQM-IlrwUWgtVbC7DvjeqIxfEQCusAVaUFZ7niFjqb4u8JIuXwm3IyUY71fxqJDanzyadZ1b07VHItPaHo_gd_Yb-EZiC44bVSvarNDFiZXzijzEsywU88BS4mh6ONqAwt5kejrb3yuOI_Pp1I--Php60OZ0LhxBZDTsNO0wC_oct60DzPq5bmlgnBAS-V91B9YmgHxof52g04Qi1Lppi_yOqZtKQ_AerAsZGWANiUBG2T3BetoCIcou0sPlWj64qZ3XXI3Rznieon0agsM6hQjnYl_osNb5yyXeHj0M5-Y5T4ZFTijiugrA_DUQMslTWHFULF-h9MMx5C6KiplgWyWO1kZCJIPha05yFFIsdLbh-Wb9OIL-BecgiAqbf_hC4STAARm_rSZxgI-7iMgKV9lhzU9tQygk3kbsaX2HMHxloHThCseG0Wj0SDP00A_vi3hqIPU70nJxERvwdx-6YEMS2rApexxgFn35-4H5o6Uq2vtQdE-uDkFO3A3ImqJUfyMHfcaQted1SS1Ee-r6qBzhkvkbh0OAguwtpjno2y-_TogXdLNqfb7n__FZTsw7kgkyeZQv27b2mQPj32azO3OMlW4hBhqSvfgH9Fw1RmZIUokSTrZcmrILWD_ZcLkYXyPy1YFSrP545BTrn8hn6JEN8h6nHih6xSK0Hr6J99Sfj8HVRcwaILvqBmfuCbq7mIqsQ1HnUcXuuKJrgqybdeRXdXDSbnr-ifeYvninMRFTV1QhmX55MpJ1R8lR5YKaiXq1cIhnk5XwH_nJtOGh9DaeNMCsQSJmR9UPbqSBWAmgmOVUkF41acrzTJ0C_M-THlbim3jz7DGgDcxHBAT6wZUEFzSdzAoqig030dl1Czpo_vKeivEIwzEJIIGGPAvlyYTFB5DglPqMTCIuawkJE8iKhivMdBDoJYJHVuLs0nragM&reqid=7803rtaYWdpi87uI&type=CLICK&pos=2,2,-4%,Đã bán 5k+,dinhduongnguoilon
2,Sữa Bột Anlene Gold Movepro Hương Chocolate (Hộp Giấy 440g),195.000₫,https://tka.tiki.vn/pixel/pixel?data=qlStFtcUSgKiNRjgzoautOzDcYKuehObAEt2XT-O_EnpSXWSu51cjKSxiVrEiDu78mZPQEPxVTZMkC25sKZerAQ2bnzQDTdlLhXJovtV3mqEaetDzrw4mcDL0Uez3Qb1kmr91WquZnL-poxz16iWUjXJ1HrHjt3v7yuDPUB24jGax2kX4j_IPV20_VPuPRM_GJNq-oZjlHyGc6My9a96qAwd-mC9XEmsT4HCY6aHdcQuBrRxSPujZTLElID-ll0j4Q7j3WfitTUyMagyA7nkHhNlDrRg-CU2oC6fJtlpbWav0YU4EUAv1y--ogkV7BDrNgP7J7FvL7LAJU96XHm9OIeWvd39Nwq-MYUdxnqgAVTjmUbORV37R_CUQQylPz1EIssK7r0mz9VFN9lPqCCc7cP7sKsR3YsLL8k77WwVA6S1gvA85h_JSV8lqK7ds48gCATLSkFWsbawKrdMg8zSh7ifOx6HSvZ_qjxBj4L_1DF4k_eNFizx1RESt4cBymS4j-mBkx10RArfnuRh2B62iOgzZHe0VxAZfHNm4IL93Bx8NCowx_cjj5JLVeGRnLhpuOiP9r8E_crzW1BuQGSJo8OzmIKSRmuMaXcJRy4z_N3dtU90mny44ccp5uPpPB7mT0eFQJdMf055ljlyQof9bodHZ_jRmrm1_GDAuB0aCnS4eIrwmF0TQ7MTg9FdKjJzQpDuS_EFDgRjmlgYcBDHfzpdB0MZ27-noDWvA0Ho3MI1ZlL2OholE0iRJ_YmuAGkHzpfGGECtEegZXANNKDZgO8E816szSXjupiyt4UoTkNoQffUno76LN_PUMA8ANQxQs22sVsTZN-H9IMs4Fckkn6AjHJJHFqO6VA_VnBBqec-Pq_uuFoNPPLc93nr7qE3bLKfu8a95DZmJAUn6MhzTtHqDWxhJf2owHUTZct9OHoKjdaSrk6tvUbHq74D2NOeJpWqrwXxpQwFLY_U49w4oaupeZEAkH9yzcdmebY2b1Josk15yN2YAsYzsqlkAL0K1a3_v6TIcdfk21QBF6-aRS5Alj-ssJDw7uQQ7O5UejXPVqg&reqid=7803rtaYWdpi87uI&type=CLICK&pos=3,3,-4%,Đã bán 3.1k,dinhduongnguoilon
3,Sữa Bột Anlene Gold 5X Hương Vanilla (Hộp Thiếc 400g),249.000,https://tka.tiki.vn/pixel/pixel?data=pPYpCTNbzSVeqlk2KS3f-N0AGnRKCaf6cqTd_kTJu-To_7fKjYyY67m-PFW4ZmfO6C_KXP8qPR8sbKvihExWcB0JoXQmoAQgVUWQLikFH_gTnUZbQFOcjBxXPoOTj8Yf3Uzf8yy8j4L1cRLZlnQ8leKRh2m__T5LtGGujX2Ixnp_ekfMeDqo68t1DqIeQeyHD9FhQjLcujnfcdfA6BpS5WLN7WOO3iDv77uwXOOfCHGVEiOQtU6EBAIKQ_TJZDPG4_-9RHnoku1XYpTELzsLLM6TLORadttra917StawR2d-8uGXBTOh6H4E99nljtnHPAzlMJYLBagR7FnNpMeKyF8XGNGIXfZQwFJx7Kbk7kWcmr9dDZPgVO3Iyc_JgrsGHy9hIx65JZ3PmY4UQRPKB9oVoHkDVHa9RdVtYiCYiTEjSYZR47L3mL2nZXWkgcWibfmNUP6HPRSWQDRwa4xCuu7w01oGMjTx3k-_B_K_1cT7cMIiQNPmxCZjBg6Pao4dtFRFlyJNV11yiAB0noBhRB1_EiKpBqQrH99BtB5Yo-iu1kVcE4RkSuEjahwgUkncMTRJijkv2zpJc5qFBAnsqQ0R5ToV8L8l_n5Cxmnh3iy45nBOpYErdJOkoM3rOTbFVPJT9WNE9bcWTBkYQ_q4GWv5EPCjEqS7oxK3F_2mpILNjY2yyBLvDmHmuJyBIIyA3WXEbCoS-Xvqt7JPTbGhuqsiPjVe-faJTA753ZU08XlOkr0TXMHvZjzTQtFXwK2bix8LFZvoaw6JCwfDbxNPgrcrddYg93vhaqxcmvNDlRVDLlfPRHtfYg8NvpYduRPBh30PyrhS2zludOzMA7Tzdtl0OdRs_coGNwtJFc7R_lOgU1AbqA39PJddM8vBMpM6bTDibJdrCTBhpiGfb-tFn7ywNogyLiiDi2FtRM3hwbK45yBK1cMcIDsJUZ4SesJehwXbTFYdzLrSJ3I52A6ExJt7pHbIV8tmZjjMSBBjD29WrXPNkSRCQ8rGmOvkIoCd_sdasZEzkSwzSff5H2ISPEH6p3RCT6Hx5Bp_Wkue-R6Nli8aOG-cQSGWahhGQTazTmo&reqid=7803rtaYWdpi87uI&type=CLICK&pos=4,4,,,dinhduongnguoilon
4,,,https://tka.tiki.vn/pixel/pixel?data=yG66vfEqMD_TaupXOBWl3BxcR4MHA27zqRdKs6ohmvqmoTcM1VcO02r_IHlpnnx5ExHUU5OFa4Nc95I_RGjyKusj8YoOug3hK11FfZWQHM84n9QFggV04XfBeU74joGZnIt6LEiPBTs2HLmiN4_f3ezinf1cEfOBXz0NzPlgVqITpt-W4qhxD9_PvS93GrqRN7A0ay4ceQT_wv2sJpHJn51x-NXr8JyfPQ5RlPICfKWKxnEwJZNrrgoKgfEFbEeuaJFIwLZiWzTk73CWR4NC9x1VDFMw09jdv76_iudIAmPs89YtsVrOQKdsI7xnhGMj8yujOpZzwwvI_vUpKusVNI2aJyrMo2wfZ_vpTCePeOBoQUSn919HUAlj3Z85te4pwrXjr9OXPZJYbLVOF1-HzKFGeoXnInClfMYJ6X7MNizpCnIiOqUjnyWQ6lIQtz8VhWjuEBmLJ8VMEh7nekxMuZdtcPT0Qh1-7Urd3y5OaIYwtMseQ1ifZAs_gob7zkiys05wrXUdza8cQVOTR3eod-14kC9IvALbekZGwm1FHmIMjucEL7l22KqPc5nmcQy9hTkhJQLc92WGcKRB8oUuZvhDQahIo71PtABC-aFTzF-HCv-3EhkSXB7-YKJLhar4nQf_D5ilEgtib5bd2XdzoJastDPEXvwm8iRHRkWrYkbR7yVGGVNw9p5rt6FJxfPgFSGs7JId9jaIIlk74glHQKEfMC_-_vDIR8dAwMUgZcE5W2Qa7UDKwvUyYhISLcoC4DphW8L99VOhUMFJbdAhgs176W2KYyXl6Ez-BTXNyy1oqYTwYW5RYAm3Dn0WN0i5gngT_iYl0CqAiDh01I4wQWelFeLc16fX6u8OKZMzIFE8xGnzUOyqeTK-ssSJsC2tC3aQJi99muT_4-MqRxqt2l_JibTSBVBP2RXw4aBNNN7vDFRUhmgJhdl5XHcFUbwrV_8vFcRLFMXxfklVyenVzE2IwXuySeeyGjbLGuIyjpBRc75oli6_PoamcDI98G0ET6yhay5qMXzagshQqbQ8ZvTEyLFT6ncRIiArtUzJSCsIkT5gDWRKyryzfv20N7JuT10&reqid=7803rtaYWdpi87uI&type=CLICK&pos=5,5,,,dinhduongnguoilon
5,Sure Prevent Gold HT,565.000₫,https://tiki.vn/sure-prevent-gold-ht-p273180228.html?spid=71080137,6,-10%,Đã bán 5k+,dinhduongnguoilon
6,Sữa Bột Anlene Gold Movepro Hương Chocolate (Hộp Giấy 440g),195.000₫,https://tiki.vn/sua-bot-anlene-gold-movepro-huong-chocolate-hop-giay-440g-p1000532.html?spid=1001706,7,-4%,Đã bán 3.1k,dinhduongnguoilon
7,[MỚI] Sữa bột bổ sung dinh dưỡng Anlene Total 10 lon 800g tặng dù Anlene,629.000₫,https://tiki.vn/moi-sua-bot-bo-sung-dinh-duong-anlene-total-10-lon-800g-tang-quanh-inox-p257771715.html?spid=257771716,8,-7%,Đã bán 358,dinhduongnguoilon
8,Sữa Bột Anlene Gold 5X Hương Vanilla (Hộp Thiếc 800g),469.000,https://tiki.vn/sua-bot-anlene-gold-5x-huong-vanilla-hop-thiec-800g-p173164598.html?spid=173164599,9,,,dinhduongnguoilon
9,,,https://tiki.vn/sua-bot-anlene-gold-movepro-huong-vanilla-hop-giay-440g-p1000534.html?spid=1001708,10,,,dinhduongnguoilon
